,Gene stable ID,Gene name,Transcript name,RefSeq match transcript (MANE Select),Ensembl Canonical,Transcript stable ID,gene_id
11737,ENSG00000256210,TMEM167AP2,TMEM167AP2-201,,True,ENST00000593748,ENSG00000256210.3
11738,ENSG00000237840,FAM21FP,FAM21FP-201,,True,ENST00000426241,ENSG00000237840.6
11739,ENSG00000185015,CA13,CA13-201,NM_198584.3,True,ENST00000321764,ENSG00000185015.7
11740,ENSG00000255501,CARD18,CARD18-203,NM_021571.4,True,ENST00000530950,ENSG00000255501.2
11741,ENSG00000256628,ZBTB11-AS1,ZBTB11-AS1-201,,True,ENST00000609682,ENSG00000256628.3
11742,ENSG00000104814,MAP4K1,MAP4K1-201,NM_001042600.3,True,ENST00000396857,ENSG00000104814.12
11743,ENSG00000271856,LINC01215,LINC01215-201,,True,ENST00000607746,ENSG00000271856.1
11744,ENSG00000267809,NDUFV2P1,NDUFV2P1-201,,True,ENST00000596415,ENSG00000267809.1
11745,ENSG00000152527,PLEKHH2,PLEKHH2-201,NM_172069.4,True,ENST00000282406,ENSG00000152527.13
11746,ENSG00000067606,PRKCZ,PRKCZ-201,NM_002744.6,True,ENST00000378567,ENSG00000067606.16
11747,ENSG00000177738,ANXA2R-OT1,ANXA2R-OT1-203,,True,ENST00000503152,ENSG00000177738.3
11748,ENSG00000158106,RHPN1,RHPN1-201,NM_052924.3,True,ENST00000289013,ENSG00000158106.13
11749,ENSG00000219747,RPL32P16,RPL32P16-201,,True,ENST00000405720,ENSG00000219747.1
11750,ENSG00000269439,PGLS-DT,PGLS-DT-202,,True,ENST00000596643,ENSG00000269439.5
11751,ENSG00000261652,PIERCE2,PIERCE2-201,NM_001198784.2,True,ENST00000569691,ENSG00000261652.2
11752,ENSG00000075399,VPS9D1,VPS9D1-201,NM_004913.3,True,ENST00000389386,ENSG00000075399.13
11753,ENSG00000167964,RAB26,RAB26-201,NM_014353.5,True,ENST00000210187,ENSG00000167964.12
11754,ENSG00000259877,ZNF778-DT,ZNF778-DT-201,,True,ENST00000570267,ENSG00000259877.2
11755,ENSG00000150540,HNMT,HNMT-202,NM_006895.3,True,ENST00000280097,ENSG00000150540.13
11756,ENSG00000164983,TMEM65,TMEM65-201,NM_194291.3,True,ENST00000297632,ENSG00000164983.7
11757,ENSG00000229447,,,,True,ENST00000452686,ENSG00000229447.2
11758,ENSG00000164649,CDCA7L,CDCA7L-203,NM_018719.5,True,ENST00000406877,ENSG00000164649.19
11759,ENSG00000260852,FBXL19-AS1,FBXL19-AS1-201,,True,ENST00000563777,ENSG00000260852.1
11760,ENSG00000040199,PHLPP2,PHLPP2-206,NM_015020.3,True,ENST00000568954,ENSG00000040199.18
11761,ENSG00000272948,,,,True,ENST00000608405,ENSG00000272948.2
11762,ENSG00000269925,,,,True,ENST00000602406,ENSG00000269925.1
11763,ENSG00000240322,RN7SL481P,RN7SL481P-201,,True,ENST00000477764,ENSG00000240322.3
11764,ENSG00000269906,,,,True,ENST00000602954,ENSG00000269906.1
